date,ETF_200_63,ETF_200_1,ETF_100_63,ETF_50_63
2022-10-03,100000.0,100000.0,100000.0,100000.0
2022-10-04,100000.0,100000.0,100528.66399480433,100000.0
2022-10-06,100000.0,100071.10297377802,100872.51883794398,100000.0
2022-10-07,100000.0,100202.35297377802,101004.76883794398,100000.0
2022-10-10,100000.0,99971.35169203974,100772.00754644007,100000.0
2022-10-11,100000.0,98459.34912856318,99248.48496343226,100000.0
2022-10-12,100000.0,93086.61055585598,99957.35109807581,100000.0
2022-10-13,100000.0,93073.47895679234,99438.92528630822,100000.0
2022-10-14,100000.0,93080.63899097203,100385.8398065719,100000.0
2022-10-17,100000.0,93083.8789812064,100814.328515068,100000.0
2022-10-18,100000.0,93091.11897144078,101771.8172235641,100000.0
2022-10-19,100000.0,93091.8789812064,101872.328515068,100000.0
2022-10-20,100000.0,93094.31898364781,102195.01883794398,100000.0
2022-10-21,100000.0,93094.63899097203,102237.3398065719,100000.0
2022-10-24,100000.0,93101.23896655797,103110.18657781214,100000.0
2022-10-25,100000.0,93098.51899585484,102750.47045232388,100000.0
2022-10-27,100000.0,93102.35896167516,103258.30593206019,100000.0
2022-10-28,100000.0,93104.39900073766,103528.10109807581,100000.0
2022-10-31,100000.0,93113.63899097203,104750.0898065719,100000.0
2022-11-01,100000.0,93120.47895679234,105654.67528630822,100000.0
2022-11-02,100000.0,93118.19898853062,105353.14948369592,100000.0
2022-11-03,100000.0,93118.11897144078,105342.5672235641,100000.0
2022-11-04,100000.0,93119.63899097203,105543.5898065719,100000.0
2022-11-07,100000.0,93123.03895435094,105993.23496343226,100000.0
2022-11-09,100000.0,93121.83900317906,105834.54142095179,100000.0
2022-11-10,100000.0,93115.9989763236,105062.19786931606,100000.0
2022-11-11,100000.0,93129.438978765,106839.63819219203,100000.0
2022-11-14,100000.0,93129.23896655797,106813.18657781214,100000.0
2022-11-15,100000.0,93132.19898853062,107204.64948369592,100000.0
2022-11-16,100000.0,93132.03895435094,107183.48496343226,100000.0
2022-11-17,100000.0,93129.35896167516,106829.05593206019,100000.0
2022-11-18,100000.0,93128.23896655797,106680.93657781214,100000.0
2022-11-21,100000.0,93122.75898608922,105956.20916081996,100000.0
2022-11-22,100000.0,93125.47895679234,106315.92528630822,100000.0
2022-11-23,100000.0,93126.59895190953,106464.0446405563,100000.0
2022-11-24,100000.0,93135.438978765,107633.13819219203,100000.0
2022-11-25,100000.0,93137.95899829625,107966.41077519982,100000.0
2022-11-28,100000.0,93140.71894702672,108331.41399480433,100000.0
2022-11-29,100000.0,93142.27894458531,108537.72367192835,100000.0
2022-11-30,100000.0,93147.35896167516,109209.55593206019,100000.0
2022-12-01,100000.0,93150.71894702672,109653.91399480433,100000.0
2022-12-02,100000.0,93147.79896411656,109267.74625493615,100000.0
2022-12-05,100000.0,93146.31898364781,109072.01883794398,100000.0
2022-12-06,100000.0,93145.11897144078,108913.3172235641,100000.0
2022-12-07,100000.0,93140.03895435094,108241.48496343226,100000.0
2022-12-08,100000.0,93143.03895435094,108638.23496343226,100000.0
2022-12-09,100000.0,93138.47895679234,108035.17528630822,100000.0
2022-12-12,100000.0,93138.9989763236,108103.94786931606,100000.0
2022-12-13,100000.0,93143.63899097203,108717.5898065719,100000.0
2022-12-14,100000.0,93145.95899829625,109024.41077519982,100000.0
2022-12-15,100000.0,93134.8789812064,107559.078515068,100000.0
2022-12-16,100000.0,93129.19898853062,106807.89948369592,100000.0
2022-12-19,100000.0,93135.23896655797,107606.68657781214,100000.0
2022-12-20,100000.0,93133.39900073766,107363.35109807581,100000.0
2022-12-21,100000.0,93126.15894946812,106405.85431768032,100000.0
2022-12-22,100000.0,93122.75898608922,105956.20916081996,100000.0
2022-12-23,100000.0,93109.15894946812,104157.60431768032,100000.0
2022-12-26,100000.0,93117.47895679234,105257.92528630822,100000.0
2022-12-27,100000.0,93120.55897388219,105665.25754644007,100000.0
2022-12-28,100000.0,93120.51899585484,105659.97045232388,100000.0
2022-12-29,100000.0,93123.67896899937,106077.87690068812,100000.0
2022-12-30,100000.0,93120.71894702672,105686.41399480433,100000.0
2023-01-02,100000.0,93125.91895923375,106374.11560918423,100000.0
2023-01-03,100000.0,93127.27894458531,106553.97367192835,100000.0
2023-01-04,98151.24015006877,93119.23896655797,105490.68657781214,100000.0
2023-01-05,97856.0446544633,93116.83900317906,105173.29142095179,100000.0
2023-01-06,97191.84165153361,93111.438978765,104459.13819219203,100000.0
2023-01-09,98451.36045036174,93121.67896899937,105813.37690068812,100000.0
2023-01-10,97393.56345329143,93113.07899341344,104676.03012944788,100000.0
2023-01-11,97393.56345329143,93113.07899341344,104676.03012944788,100000.0
2023-01-12,97137.72135124066,93110.9989763236,104400.94786931606,100000.0
2023-01-13,97629.72135124066,93114.9989763236,104929.94786931606,100000.0
2023-01-16,97359.11984977579,93112.79896411656,104638.99625493615,100000.0
2023-01-17,98052.84165153361,93118.438978765,105384.88819219203,100000.0
2023-01-18,98633.398048018,93123.15894946812,106009.10431768032,100000.0
2023-01-19,98525.15744743205,93122.27894458531,105892.72367192835,100000.0
2023-01-20,98042.99954948283,93118.35896167516,105374.30593206019,100000.0
2023-01-23,98530.08225211955,93122.31898364781,105898.01883794398,100000.0
2023-01-24,98520.24015006877,93122.23896655797,105887.43657781214,100000.0
2023-01-25,97349.27774772502,93112.71894702672,104628.41399480433,100000.0
2023-01-27,95853.60105094768,93100.55897388219,103020.25754644007,100000.0
2023-01-30,95976.60105094768,93101.55897388219,103152.50754644007,100000.0
2023-01-31,96070.08225211955,93102.31898364781,103253.01883794398,100000.0
2023-02-01,95917.56345329143,93101.07899341344,103089.03012944788,100000.0
2023-02-02,95809.32285270547,93100.19898853062,102972.64948369592,100000.0
2023-02-03,96896.63864860393,93109.03895435094,104141.73496343226,100000.0
2023-02-06,96581.75894889688,93106.47895679234,103803.17528630822,100000.0
2023-02-07,96365.27774772502,93104.71894702672,103570.41399480433,100000.0
2023-02-08,97103.27774772502,93110.71894702672,104363.91399480433,100000.0
2023-02-09,97275.48075065471,93112.11897144078,104549.0672235641,100000.0
2023-02-10,97078.68375358441,93110.51899585484,104337.47045232388,100000.0
2023-02-13,96640.80405387735,93106.95899829625,103866.66077519982,100000.0
2023-02-14,97319.75894889688,93112.47895679234,104596.67528630822,100000.0
2023-02-15,97860.96195182658,93116.8789812064,105178.578515068,100000.0
2023-02-16,97993.80405387735,93117.95899829625,105321.41077519982,100000.0
2023-02-17,97477.20255241252,93113.75898608922,104765.95916081996,100000.0
2023-02-20,97127.87924918988,93110.91895923375,104390.36560918423,100000.0
2023-02-21,96965.51834831097,93109.59895190953,104215.7946405563,100000.0
2023-02-22,95612.51834831097,93098.59895190953,102761.0446405563,100000.0
2023-02-23,95366.51834831097,93096.59895190953,102496.5446405563,100000.0
2023-02-24,95095.92435417033,93094.39900073766,102205.60109807581,100000.0
2023-02-27,94653.11984977579,93090.79896411656,101729.49625493615,100000.0
2023-02-28,94229.99954948283,93087.35896167516,101274.55593206019,100000.0
2023-03-01,95007.36045036174,93070.00348825644,102110.37690068812,100000.0
2023-03-02,94343.15744743205,91529.55213304344,101396.22367192835,100000.0
2023-03-03,95612.51834831097,92817.47808224193,102761.0446405563,100000.0
2023-03-06,96163.56345329143,92808.68633879653,103353.53012944788,100000.0
2023-03-08,96320.99954948283,92809.96630705825,103522.80593206019,100000.0
2023-03-09,95676.48075065471,92804.72631682387,102829.8172235641,100000.0
2023-03-10,94746.60105094768,92797.16631926528,101830.00754644007,100000.0
2023-03-13,93452.63864860393,92778.6440173691,100438.73496343226,100000.0
2023-03-14,92857.32285270547,92778.6440173691,99798.64948369592,100000.0
